Καὶ	conjunction	lex29711.1_καί
Πῶς	noun	lex64230.1_πῶς
Πῶς	adverb	lex64231.1_πῶς2
Πῶς	particle	lex64002.1_πως
Σοὶ	adjective	lex72419.1_σός
Σοὶ	pronoun	lex72423.1_σύ
Τούτου	pronoun	lex49955.1_οὗτος
αὐτὸν	pronoun	lex12917.1_αὐτός
βλεφάρων	noun	lex14128.1_βλέφαρον
γάρ	particle	lex15537.1_γάρ
γένοιτο,	verb	lex15628.1_γίγνομαι
γήρως	noun	lex17295.1_γῆρας
γενναία	adjective	lex16083.1_γενναῖος
γηραιοὺς	adjective	lex16297.1_γηραιός
γὰρ	particle	lex15537.1_γάρ
γῆρας,	noun	lex17295.1_γῆρας
δέ	particle	lex17379.1_δέ
δείκνυσι	verb	lex18078.1_δείκνυμι
διαναστήσομεν,	verb	lex19828.1_διανίσταμαι
διεγειρόμενον,	verb	http://data.perseus.org/collections/_διά-ἐγείρω
διερμηνεύων	verb	lex20772.1_διερμηνεύω
διηγεῖσθαί	verb	lex20837.1_διηγέομαι
διὰ	preposition	lex18824.1_διά
δυναμένοις	verb	lex23451.1_δύναμαι
δύναμιν,	noun	lex23452.1_δύναμις
δύναμις	noun	lex23452.1_δύναμις
δὲ	particle	lex17379.1_δέ
εἰς	preposition	lex24000.1_εἰς
εἴ	conjunction	lex23700.1_εἰ
εἴπερ	conjunction	lex24302.1_εἴπερ
θαυμάτων	noun	lex27546.1_θαῦμα
θυμῶδες	adjective	lex28876.1_θυμώδης
καθάπερ	adverb	lex29768.1_καθά
κατακιρνάμενος,	verb	http://data.perseus.org/collections/_κατά-κιρνάω
κατακροαινόντων	verb	http://data.perseus.org/collections/_κατά-κροαίνω
καταμειγνύμενον,	verb	lex32478.1_καταμίγνυμι
κατόπιν	adverb	lex33780.1_κατόπιν
κατὰ	preposition	lex31485.1_κατά
καὶ	conjunction	lex29711.1_καί
κεκραμένον	verb	lex34223.1_κεράννυμι
κεφαλὴν	noun	lex34474.1_κεφαλή
κη	particle	lex56052.1_πη
κτύπῳ	noun	lex37547.1_κτύπος
κὰν	preposition	lex29306.1_κάν
λέγειν	verb	lex38905.1_λέγω1
λέγειν	verb	lex38906.1_λέγω2
λέγειν	verb	lex38907.1_λέγω3
λέγων	verb	lex38905.1_λέγω1
λέγων	adjective	lex38904.1_λέγος
λέγων	verb	lex38906.1_λέγω2
λέγων	verb	lex38907.1_λέγω3
λογογράφοι	noun	lex41004.1_λογογράφος
λόγοις	noun	lex41535.1_λόγος
λόγον	noun	lex41535.1_λόγος
λόγος	noun	lex41535.1_λόγος
λόγος,	noun	lex41535.1_λόγος
μένοντες,	verb	lex41915.1_μένω
μένων	verb	lex41915.1_μένω
μένῃ	verb	lex41915.1_μένω
μέχρις	adverb	lex41978.1_μέχρι
μεγαλοφυὲς	adjective	lex43027.1_μεγαλοφυής
μεγαλοφωνότερον	adjective	lex43105.1_μεγαλόφωνος
μόγις	adverb	lex46659.1_μόγις
μόνη	adjective	lex46698.1_μόνος
μόνην	adjective	lex46698.1_μόνος
μόνον	adjective	lex46698.1_μόνος
μὲν,	particle	lex41907.1_μέν
μὴ	conjunction	lex41979.1_μή
νῦν	adverb	lex48646.1_νῦν
οἱ	article	lex120807.1_ὁ
οἱ	pronoun	lex113899.1_ἕ
οἶόν	adjective	lex49640.1_οἶος
οὐκ	adverb	lex49650.1_οὐ
οὕτως	adverb	lex49931.1_οὕτως
οὖς	noun	lex49950.1_οὖς
πάντες	adjective	lex64194.1_πᾶς
πάντως	adverb	lex50133.1_πάντως
παίδευσιν,	noun	lex50490.1_παίδευσις
παραχωρῶν	verb	lex52927.1_παραχωρέω
περὶ	preposition	lex54377.1_περί
πλάτει	noun	lex56484.1_πλάτος
πνέειν	verb	lex57103.1_πνέω
ποιεῖν	verb	lex57295.1_ποιέω
πολλάκις	adverb	lex57565.1_πολλάκις
πολὺ	adjective	lex58528.1_πολύς
πού	adverb	lex59019.1_πού
πραγμάτων	noun	lex63188.1_πρᾶγμα
προανηλώθη	verb	lex59449.1_προαναλίσκω
προβολαῖς	noun	lex59655.1_προβολή
προθυμία	noun	lex60155.1_προθυμία
προθυμίαν	noun	lex60155.1_προθυμία
προθυμίας	noun	lex60155.1_προθυμία
προσάγει	verb	lex60833.1_προσάγω
προσηνὴς	adjective	lex61510.1_προσηνής
προτεθεῖσα	verb	lex62280.1_προτίθημι
πρὸς	preposition	lex62945.1_πρός
πυκνῶς	verb	lex63526.1_πυκνόω
πυκνῶς	adjective	lex63518.1_πυκνός
πως	particle	lex64002.1_πως
πόδας	noun	lex59024.1_πούς
σεμνόν	noun	lex65064.1_σεμνόν
σεμνόν	adjective	lex65066.1_σεμνός
σοι	pronoun	lex72423.1_σύ
σοφισταί	noun	lex66841.1_σοφιστής
σοὶ	adjective	lex72419.1_σός
σοὶ	pronoun	lex72423.1_σύ
σοῦ	verb	lex65093.1_σεύω
σοῦ	pronoun	lex72423.1_σύ
σοῦ	adjective	lex72419.1_σός
σοῦ	exclamation	lex66858.1_σοῦ
σοῦ	verb	lex64376.1_σέω
σταδίου	adjective	lex67338.1_στάδιος
σταδίου	noun	lex67337.1_στάδιον
σταδίῳ	noun	lex67337.1_στάδιον
σταδίῳ	adjective	lex67338.1_στάδιος
συμβαίνει	verb	lex69295.1_συμβαίνω
συμμέτρως	adjective	lex72532.1_σύμμετρος
συντεταμένος	verb	lex71436.1_συντείνω
συντεταμένῳ	verb	lex71436.1_συντείνω
σφοδρῷ	adjective	lex72035.1_σφοδρός
σφριγῶν	verb	lex72062.1_σφριγάω
σφριγῶν	noun	lex72049.1_σφρίγος
σῶν	verb	lex64376.1_σέω
σῶν	adjective	lex72809.1_σῶς
σῶν	adjective	lex72419.1_σός
σῶν	noun	lex64393.1_σής
τήν	article	lex120807.1_ὁ
ταπεινοφροσύνῃ	noun	lex73277.1_ταπεινοφροσύνη
ταύτην	pronoun	lex49955.1_οὗτος
ταῖς	article	lex120807.1_ὁ
τε	particle	lex73586.1_τε
τι	pronoun	lex74696.1_τις
τινι	pronoun	lex74696.1_τις
τις	pronoun	lex74696.1_τις
τοὺς	article	lex120807.1_ὁ
τοῖς	article	lex120807.1_ὁ
τοῦ	irregular	lex73027.1_τίς
τοῦ	article	lex120807.1_ὁ
τοῦ	pronoun	lex74696.1_τις
τρέχειν	verb	lex75066.1_τρέχω
τρόπον	noun	lex76322.1_τρόπος
τύχοι	noun	lex76708.1_τύχος
τύχοι	verb	lex76396.1_τυγχάνω
τὰς	article	lex120807.1_ὁ
τὴν	article	lex120807.1_ὁ
τὸ	article	lex120807.1_ὁ
τὸν	article	lex120807.1_ὁ
τῆς	article	lex120807.1_ὁ
τῇ	adverb	lex76729.1_τῇ
τῇ	article	lex120807.1_ὁ
τῶν	article	lex120807.1_ὁ
τῷ	irregular	lex73027.1_τίς
τῷ	article	lex120807.1_ὁ
τῷ	adverb	lex76739.1_τῷ
τῷ	pronoun	lex74696.1_τις
φέγγος	noun	lex76846.1_φέγγος
φθάσειεν	verb	lex77436.1_φθάζω
φθάσειεν	verb	lex77437.1_φθάνω
φύσις	noun	lex79645.1_φύσις
χρείᾳ	noun	lex81368.1_χρεία
ἀγωνίσασθαι,	verb	lex83823.1_ἀγωνίζομαι
ἀγώνων	adjective	lex98291.1_ἄγωνος
ἀγώνων	noun	lex83858.1_ἀγών
ἀγῶνας	noun	lex83858.1_ἀγών
ἀκμαίοις	adjective	lex85019.1_ἀκμαῖος
ἀκτίνων	adjective	lex98530.1_ἄκτινος
ἀκτίνων	noun	lex85441.1_ἀκτίς
ἀμήχανον	adjective	lex86268.1_ἀμήχανος
ἀμφιλαφὴς	adjective	lex87105.1_ἀμφιλαφής
ἀνέχειν,	verb	lex87702.1_ἀνέχω
ἀξίας	verb	lex91555.1_ἀξιάω
ἀξίας	noun	lex91545.1_ἀξία
ἀξίας	adjective	lex98946.1_ἄξιος
ἀπολειφθῆναι,	verb	lex93183.1_ἀπολιμπάνω
ἀποστρέφει	verb	lex93783.1_ἀποστρέφω
ἁμίλλαις	noun	lex99622.1_ἅμιλλα
ἁρμονίαν	noun	lex98075.1_ἁρμονία
ἂν	conjunction	lex101903.1_ἐάν
ἂν	conjunction	lex98756.1_ἄν2
ἂν	particle	lex98755.1_ἄν1
ἂν	preposition	lex87339.1_ἀνά
ἄκρατον	adjective	lex98506.1_ἄκρατος
ἄν	conjunction	lex101903.1_ἐάν
ἄν	particle	lex98755.1_ἄν1
ἄν	conjunction	lex98756.1_ἄν2
ἄν	preposition	lex87339.1_ἀνά
ἄριστε,	adjective	lex99144.1_ἄριστος
ἅρματι	noun	lex99634.1_ἅρμα
ἐδάφει	noun	lex112989.1_ἔδαφος
ἐθέλειν	verb	lex102547.1_ἐθέλω
ἐκ	preposition	lex102605.1_ἐκ
ἐμμέτρῳ	adjective	lex113294.1_ἔμμετρος
ἐν	preposition	lex24000.1_εἰς
ἐν	preposition	lex104759.1_ἐν
ἐναγώνιον,	adjective	lex104858.1_ἐναγώνιος
ἐναντίων	adjective	lex104917.1_ἐναντίος
ἐξαγώνιος	adjective	lex106200.1_ἐξαγώνιος
ἐπίδειξις,	noun	lex107210.1_ἐπίδειξις
ἐπιδείξονται	verb	lex108618.1_ἐπιδείκνυμι
ἐπισκιάζουσα,	verb	lex109882.1_ἐπισκιάζω
ἐπὶ	preposition	lex107170.1_ἐπί
ἐστὶν	verb	lex23940.1_εἰμί
ἐστὶν,	verb	lex23940.1_εἰμί
ἔξω	adverb	lex113677.1_ἔξω
ἔξω	verb	lex113831.1_ἔσσομαι
Ἐπειδὴ	conjunction	lex108091.1_ἐπεί
ἡ	article	lex120807.1_ὁ
ἡβῶσιν	verb	lex114940.1_ἡβάω
ἡμέτερος	adjective	lex115153.1_ἡμέτερος
ἡμῶν	pronoun	lex102510.1_ἐγώ
ἡμῶν	adjective	lex115582.1_ἡμός
ἤθους	noun	lex115742.1_ἦθος
ἤν	exclamation	lex115690.1_ἤν
ἤν	conjunction	lex101903.1_ἐάν
ἥλιος	noun	lex115722.1_ἥλιος
Ἡμεῖς	pronoun	lex102510.1_ἐγώ
ἵππος,	noun	lex117804.1_ἵππος
ἵππων	noun	lex117804.1_ἵππος
ὀπίας	noun	lex119598.1_ὀπίας
ὁ	article	lex120807.1_ὁ
ὁρᾶν	verb	lex121586.1_ὁράω
ὄμμασιν,	noun	lex121789.1_ὄμμα
ὑποθέσεως	noun	lex125292.1_ὑπόθεσις
ὑποκινεῖν	verb	lex124439.1_ὑποκινέω
ὑπόθεσις,	noun	lex125292.1_ὑπόθεσις
ὑπὸ	preposition	lex125231.1_ὑπό
ὑψοῦται	verb	lex125838.1_ὑψόω
ὡς	conjunction	lex126496.1_ὡς
ᾧ	pronoun	lex122049.1_ὅς
