TEXT: njpPERIOD32101077772604_0083.html
0	quæ quæ præter hæc quæ quæ quæ illæ diversæ, θεωρίαν σκοπὸς, οὐδέ τινος τῶν ἐν κόσμῳ θαυμάτων τὰ δεύτερα φερόμενος, τάχα δὲ καὶ μείζων ἑκάστου τῶν γιγνωσκομένων, διότι οὐδὲν ἕτερον Θεῷ ἐκ τῶυ ὄντων ὡμοίωται, πλὴν τῆς κατὰ τὸν ἄνθρωπον κτίσεως, ὥστε παρὰ τοῖς εὐγνώμοσι τῶν ἀκροατῶν πρόχειρον ἡμῖν τὴν ἐπὶ τοῖς λεγομένοις συγγνώμην εἶναι, κἂν πολὺ κατόπιν τῆς ἀξίας ὁ λόγος ἔλθοι.

1	 Δεῖ γὰρ, οἶμαι, τῶν περὶ τὸν ἄνθρωπον ἀπάντων, τῶν τε προγεγενῆσθαι πεπιστευμένων, καὶ τῶν εἰσύστερον ἐκβήσεσθαι προσδοκωμένων, καὶ τῶν νῦν θεωρουμένων μηδὲν παραλιπεῖν ἀνεξέταστον.

2	 ʼἩ γὰρ ἂν ἐλλιπεστέρα τοῦ ἐπαγγέλματος ἡ σπουδὴ διελέγχοιτο, ε τοῦ ἀνθρώπου προκειμένου τῇ θεωρίᾳ, παρεθείη τι τῶν συντεινόντων πρὸς τὴν ὑπόθεσιν.

3	 Ἀλλὰ καὶ τὰ δοκοῦντα περὶ αὐτὸν ἐναντίως ἔχειν, διὰ τὸ μὴ τὰ αὐτὰ τοῖς ἐξ ἀρχῆς γεγενημένοις, καὶ νῦν περὶ τὴν φύσιν ὁρᾶσθαι διά τινος ἀναγκαίας ἀκολουθίας· ἔκ τε τῆς γραφικῆς ὑφηγήσεως καὶ ἐκ τῆς παρὰ τῶν λογισμῶν εὑρισκομένης ἐπινοίας συναρτῆσαι προσήκει, ὡς ἂν συμβαίνοι πᾶσα ἡ ὑπόθεσις εἱρμῷ καὶ τάξει τῶν ἐναντίως ἔχειν δοκούντων πρὸς ἔν καὶ τὸ αὐτὸ πέρας συμφερομένων, οὕτω καὶ τῆς θείας δυνάμεως ἐλπίδα τοῖς ὑπὲρ ἐλπίδα, καὶ πόρον τοῖς ἀμηχάνοις ἐφευρισκούσης.

4	 Σαφηνείας δὲ χάριν καλῶς ἔχειν ᾠήθην, ἐπὶ κεφαλαίων σοι προθεῖναι τὸν λόγον, ὡς ἂν ἔχοις πάσης τῆς πραγματείας ἐν ὀλίγῳ τῶν καθέκαστον ἐπιχειρημάτων εἰδέναι τὴν ὑπόθεσιν.

5	 Cæterum quæ præcessere, Litteræ sacræ, cœli terræ quælibet cœcomplectebatur; naturæ quædam quæ eﬀectum ortæ ﬁrmas, rotæ hæc nt; quæ terræ ﬁrmis pæditis, naturæ Ἐν ῷ τίς ἐστι μερικὴ περὶ τοῦ κόσμου φσυοιιολογία, καί τις ἁβροτέρα διήγησις περὶ τῶν πρι γεγονότων τῆς τοῦ ἀνθρώπου γενέσεως.

6	 Λτη ἡ βίβλος γενέσεως οὐρανοῦ καὶ γῆς, φησὶν ἡ ΤΓραφή· ὅτε συνετελέσθη πᾶν τὸ φαινόμενον, καὶ πρός τὴν οἰκείαν θέσιν ἕκαστον τῶν ὄντων ἀποκριθὲν ἀνεχώρησεν ὅτε περιέσχεν ἐν κύκλῳ τὰ πάντα τὸ οὐράνιον σῶμα, τὴν δὲ μέσηντοῦ παντὸς ἀπέλαβε χώραν τὰ βαρέα καὶ κατωφερῆ τῶν σωμάτων, γῆ τε καὶ ὕδωρ, ἐν ἀλλήλοις διακρατούμενα.

7	 Σύνδεσμος δέ τις καὶ βεβαιότης τῶν γεγενημένων ἡ θεία τέχνη καὶ δύναμις τῇ φύσει τῶν ὄντων ἐναπετέθη, διπλαῖς ἐνεργείαις ἡνιοχοῦσα τὰ πάντα.

8	 Στάσει γὰρ καὶ κινήσει τὴν γένεσιν τυῖς μὴ οὗσι, καὶ τὴν διαμονὴν τοῖς οὐσιν ἐμηχανήσατο, περὶ τὸ βαρὺ καὶ ἀμετάθετον τῆς ἀκινήτου φύσεως, οἶον περί τινα πάγιον ἄξονα, τὴν ὀξυτάτην τοῦ πόλου κίνησιν τροχοῦ δίκην ἐν κύκλῳ περιελαύνουσα, καὶ διʼ ἀλλήλων ἀμφοτέροις συντηροῦσα τὸ ἀδιάλυτον· τῆς τε κυκλοφορουμένης οὐσίας διὰ τῆς ὀξείας κινήσεως τὸ ναστὸν τῆς γῆς ἐν κύκλῳ περισφιγγούσης τοῦ τε στερροῦ καὶ ἀνενδότου διὰ τῆς ἀμεταθέτου παγιότητος ἀδιαλείπτως ἐπιτείνοντος τῶν περὶ αὐτὴν κυκλουμένων τὴν δίνησιν.

